,id,text,predicted,actual
70,1475451512814020000,forget nature deciduous tree deciduous tree speaking head managing director sounding balancing environmental transition net zero watch full dfnyc recap,Neutral,Neutral
71,1475274197534340000,career path building digital prison create money research pay play social impact investing human capital finance amp freedom v tyranny u,Negative,Positive
72,1474713081670470000,likely complicit disillusionment citizenry nefarious reason may certainly embody value mental defect human nature invariable,Negative,Neutral
73,1475865887173490000,support hire hero usa empowers thousand veteran military spouse secure meaningful employment year donate end year gift matched double impact give,Positive,Positive
74,1475847110222350000,wait poor people basically shellfish money ecosystem get trickle em filter send right back chain,Negative,Neutral
75,1476215438216500000,register launch presented hear economist ted abernathy ted discus regional growth amp share comparison peer metro register rclaunch growth development economy,Neutral,Positive
76,1476904229486960000,climate action take money bag big bank support fossil fuel put money bag local bankcredit union big bank drop get involved bug bank third act,Neutral,Neutral
77,1476673350965540000,country climate emergency marshallfire nye fjbiden,Negative,Neutral
78,1476516635599120000,crip camp felt bullied bunch walker sat wheelchair room without food water prove point little sleep picking twitter war youll ignore like email run,Negative,Negative
79,1476261049925970000,divest well fargo fund climate change,Negative,Neutral
80,1475988698927810000,bank amp want something funding corporation destroying climate here,Negative,Negative
81,1475931944370140000,im consumer california climate crisis green economy solution please stop lending big polluter go allin renewable energy clean technology planetsaving project,Positive,Neutral
82,1475909166459930000,please include climate target clear commitment end support company project engaged expansion fossil fuel industry please part keep global warming c save earth,Neutral,Positive
83,1475480679408410000,bank amp want something funding corporation destroying climate here,Neutral,Negative
84,1475302348629190000,customer tired money used invest destruction plant join signingon letter bank ceo demand bank stop funding climate chaos,Negative,Negative
85,1475287374041020000,bank amp want something funding corporation destroying climate here,Negative,Negative
86,1475180084336250000,bank amp want something funding corporation destroying climate here,Negative,Negative
87,1475095430383950000,im consumer louisiana climate crisis green economy solution please stop lending big polluter go allin renewable energy clean technology planetsaving project,Positive,Neutral
88,1474865622064550000,bank amp want something funding corporation destroying climate here,Negative,Negative
89,1475044219999900000,frodo tech frdx financial blockchain ecosystem provide customer financial service globally without limitation race region find information please visit frodo tech website backhand index pointing backhand index pointing backhand index pointing,Neutral,Neutral
90,1475043898334540000,frodo tech frdx financial blockchain ecosystem provide customer financial service globally without limitation race region find information please visit frodo tech website backhand index pointing backhand index pointing backhand index pointing,Neutral,Neutral
91,1476823148209310000,still pathology,Neutral,Neutral
92,1476598792380160000,thanks amp foundation trained youth algeria digital employability soft technical amp entrepreneurship skill piloted training green sector like waste management building rehabilitation aquaculture amp solar energy,Positive,Positive
93,1476214543990890000,esg investing financial market climate transition new comment,Neutral,Neutral
94,1475981896001720000,know amp among biggest funders prohibited fossil fuel project police car light world would rather use money fight climate change fund go towards climate positive project watmos,Negative,Neutral
95,1475934975421810000,looking bank socially amp environmentally responsible investing billion dollar renewable energy project around world,Negative,Positive
96,1475922045514960000,something good world today completely divest fossil fuel funnel money renewable energy project,Positive,Positive
97,1475680508382260000,nyc huge climate pollution footprint bigger country wall street bank headquartered nyc much much larger polluter get control stopthemoneypipeline cc,Negative,Neutral
98,1475481669855540000,usadf grantee promotes environmental sustainability also empowers unemployed woman amp youth nigeria grant purchase bailers recycling program increased revenue contributing reduction pollution,Positive,Positive
